Question,Answer
"What disease causes Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Loss of appetite, Body aches, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Fatigue, Swollen lymph nodes, Cough, Body aches, Rashes, Chills?",Roseola
"What disease causes Runny nose, Swollen lymph nodes, Body aches, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Swollen lymph nodes, Headache, Cough, Loss of appetite, Abdominal pain, Rashes?",Roseola
"What disease causes Abdominal pain or cramps, Nausea, Stomach cramps, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Bloody stools, Stomach cramps, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Rash, Irritability, Fatigue, Sore throat, Vomiting, Loss of appetite, Rashes, Chills?",Roseola
"What disease causes Diarrhea, Low-grade fever, Headache, Fatigue, Dehydration, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes Swollen glands, Fever, Red rash on the body, Strawberry tongue, Fever (100.4�F / 38.0�C or higher), Tender, enlarged neck glands, Nausea or vomiting?",Scarlet Fever
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Muscle aches, Body aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Stomach cramps, Headache, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Mouth sores, Red spots, Cough, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Headache, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Pain while chewing or swallowing, Muscle aches, Headache, Tiredness?",Mumps
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Sore throat, Cough, Red eyes, Diarrhea, Feverish?",Roseola
"What disease causes Vomiting, Muscle aches, Headache, Loss of appetite, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Stomach cramps, Dehydration, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Runny nose, Irritability, Sore throat, Headache, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Chills, Body aches, Rashes?",Norovirus Infection
"What disease causes High fever, Rash, Fatigue, Cough, Vomiting, Loss of appetite, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Fever, Irritability?",Norovirus Infection
"What disease causes Fatigue, Dehydration, Chills, General discomfort?",Norovirus Infection
"What disease causes Runny nose, Rash, Swollen lymph nodes, Headache, Vomiting, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Runny nose, Rash, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Rashes, Chills?",Roseola
"What disease causes High fever, Runny nose, Rash, Swollen lymph nodes, Diarrhea, Vomiting, Rashes, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Low-grade fever, Fatigue, Loss of appetite, Dehydration, Chills, Sweating, Fever?",Norovirus Infection
"What disease causes Runny nose, Irritability, Fatigue, Swollen lymph nodes, Red eyes, Diarrhea, Abdominal pain, Body aches, Rashes?",Roseola
"What disease causes Fever, Bloody stools, Dehydration, Body aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Irritability, Fatigue, Cough, Diarrhea, Rashes?",Roseola
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Vomiting, Loss of appetite, Abdominal pain?",Roseola
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Fatigue, Body aches, Feverish, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, General discomfort?",Norovirus Infection
"What disease causes Sneezing, Sore, watery eyes, Cyanosis (blue lips, tongue, nailbeds), Exhaustion, Low-grade fever, Severe coughing fits?",Pertussis (Whooping Cough)
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Stomach cramps, Headache, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Diarrhea, Vomiting, Headache, Dehydration, Loss of appetite, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Red eyes, Diarrhea, Loss of appetite, Abdominal pain?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Body aches, Feverish, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Loss of appetite, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Mouth sores, Blisters, Fatigue, Cough, Sore muscles, Headache?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Headache, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Low-grade fever, Nausea, Fatigue, Abdominal pain, Loss of appetite, Chills, Sweating, Fever?",Norovirus Infection
"What disease causes Fever, Nausea, Vomiting, Bloody stools, Headache, Muscle aches, Body aches, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Low-grade fever, Headache, Abdominal pain, Dehydration, Sweating, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Abdominal pain, Loss of appetite, Dehydration, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Nausea, Fatigue, Abdominal pain, Sweating, General discomfort, Irritability?",Norovirus Infection
"What disease causes Nausea, Stomach cramps, Fatigue, Dehydration, Muscle aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Bloody stools, Stomach cramps, Headache, Loss of appetite, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Swollen lymph nodes, Sore throat, Headache, Red eyes, Vomiting, Body aches, Rashes, Chills?",Roseola
"What disease causes High fever, Fatigue, Sore throat, Diarrhea, Loss of appetite, Body aches, Feverish?",Roseola
"What disease causes High fever, Runny nose, Rash, Fatigue, Cough, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Body aches, Rashes, Feverish?",Roseola
"What disease causes Fever, Vomiting, Fatigue, Muscle aches, Body aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Muscle aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Sores in mouth, Loss of appetite, Sore throat, Headache, General discomfort?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Body aches?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Stomach cramps, Headache, Dehydration, Loss of appetite, Body aches, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Loss of appetite, Sore throat, Red spots, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Stomach cramps, Muscle aches, Nausea, Fatigue, Abdominal pain, Loss of appetite, Dehydration, Rashes?",Norovirus Infection
"What disease causes Sores in mouth, Loss of appetite, Sore throat, Mouth sores, Red spots, Blisters, Fatigue, Cough, Headache, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Runny nose, Rash, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Loss of appetite, Abdominal pain, Rashes?",Roseola
"What disease causes Sore throat, Headache, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Feverish?",Roseola
"What disease causes High fever, Runny nose, Rash, Irritability, Fatigue, Sore throat, Headache, Red eyes, Diarrhea, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Sore throat, Red spots, Blisters, Sore muscles, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Fever, Diarrhea, Vomiting, Bloody stools, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Muscle aches, Headache, Fatigue, Loss of appetite, Body aches, General discomfort, Irritability?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Vomiting, Bloody stools, Headache, Muscle aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Rash, Irritability, Fatigue, Swollen lymph nodes, Vomiting, Loss of appetite?",Roseola
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Loss of appetite, Dehydration, Body aches, Rashes, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Abdominal pain, Loss of appetite, Chills, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Loss of appetite, Muscle aches, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Nausea, Vomiting, Bloody stools, Dehydration, Body aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Nausea, Abdominal pain, Dehydration, Chills, Sweating, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Fatigue, Sore throat, Mild fever, Myalgias?",Fifth Disease (Erythema Infectiosum)
"What disease causes Fever, Diarrhea, Stomach cramps, Headache, Dehydration, Muscle aches, Body aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Bloody stools, Stomach cramps, Headache, Loss of appetite, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Vomiting, Fatigue, Loss of appetite, Muscle aches, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Low-grade fever, Muscle aches, Nausea, Headache, Loss of appetite, Dehydration, Chills, Sweating?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Nausea, Headache, Fatigue, Abdominal pain, Dehydration, Chills, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Fatigue, Headache, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Fatigue, Loss of appetite, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Headache, Abdominal pain, Body aches, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Runny nose, Sore throat, Headache, Cough, Loss of appetite, Abdominal pain, Body aches, Chills?",Roseola
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Abdominal pain, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Fatigue, Loss of appetite, Dehydration, Sweating, Rashes, General discomfort?",Norovirus Infection
"What disease causes Vomiting, Stomach cramps, Abdominal pain, Loss of appetite, Dehydration, Chills, Sweating, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes High fever, Sore throat, Headache, Cough, Red eyes, Vomiting, Loss of appetite, Rashes, Chills?",Roseola
"What disease causes Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Loss of appetite, Body aches, General discomfort, Fever?",Norovirus Infection
"What disease causes Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Fatigue, Sore muscles, Headache, General discomfort, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Vomiting, Muscle aches, Body aches, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Vomiting, Bloody stools, Fatigue, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Headache, Fatigue, Body aches, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Bloody stools, Headache, Loss of appetite, Muscle aches, Feverish, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Dehydration, Loss of appetite, Muscle aches, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Nausea, Bloody stools, Fatigue, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Headache, Fatigue, Abdominal pain, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes High fever, Irritability, Fatigue, Cough, Red eyes, Diarrhea, Vomiting, Abdominal pain, Feverish?",Roseola
"What disease causes Runny nose, Rash, Swollen lymph nodes, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain, Body aches?",Roseola
"What disease causes Swollen glands, Strawberry tongue, Pale skin around lips, Fever (100.4�F / 38.0�C or higher), Sore and red throat with patches, Difficulty swallowing, Tender, enlarged neck glands, Nausea or vomiting, Abdominal pain?",Scarlet Fever
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Loss of appetite, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Vomiting, Stomach cramps, Nausea, Abdominal pain, Loss of appetite, Dehydration, Sweating, Rashes, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Stomach cramps, Low-grade fever, Headache, Fatigue, Abdominal pain, Loss of appetite, Sweating, Irritability?",Norovirus Infection
"What disease causes Abdominal pain or cramps, Diarrhea, Stomach cramps, Fatigue, Body aches, Feverish, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Muscle aches, Nausea, Chills, General discomfort?",Norovirus Infection
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Irritability, Sore throat, Mouth sores, Fatigue, Cough, Sore muscles, Headache, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Nausea, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, General discomfort, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sore throat, Red lines in body folds, Red rash on the body, Strawberry tongue, Pale skin around lips, Difficulty swallowing, Tender, enlarged neck glands, Abdominal pain?",Scarlet Fever
"What disease causes High fever, Fatigue, Diarrhea, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Low-grade fever, Muscle aches, Nausea, Loss of appetite, Dehydration, Sweating, Body aches, Fever, Irritability?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Diarrhea, Body aches, Rashes, Chills?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Headache, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes Rash, Irritability, Fatigue, Cough, Red eyes, Vomiting, Chills, Feverish?",Roseola
"What disease causes Rash, Irritability, Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Abdominal pain, Rashes, Chills?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Dehydration, Loss of appetite, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Red and swollen tonsils, White patches on tonsils, Swollen lymph nodes, Abdominal pain?",Strep Throat
"What disease causes Diarrhea, Vomiting, Muscle aches, Headache, Loss of appetite, Sweating, Body aches, Rashes, Fever?",Norovirus Infection
"What disease causes Pain while chewing or swallowing, Tiredness, Trouble chewing, Testicle pain and tenderness, Headache, Muscle aches?",Mumps
"What disease causes Irritability, Fatigue, Headache, Vomiting, Loss of appetite, Chills?",Roseola
"What disease causes Diarrhea, Stomach cramps, Headache, Loss of appetite, Body aches, Feverish, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Nausea, Vomiting, Fatigue, Dehydration, Loss of appetite, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Runny nose, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Body aches, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Vomiting, Bloody stools, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fatigue, Loss of appetite, Dehydration, General discomfort, Fever?",Norovirus Infection
"What disease causes High fever, Rash, Fatigue, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Abdominal pain, Body aches, Chills, Feverish?",Roseola
"What disease causes High fever, Runny nose, Irritability, Sore throat, Cough, Diarrhea, Loss of appetite, Body aches, Feverish?",Roseola
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Dehydration, Muscle aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Diarrhea, Abdominal pain, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Vomiting, Low-grade fever, Nausea, Headache, Abdominal pain, Chills, Fever?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Bloody stools, Stomach cramps, Fatigue, Muscle aches, Body aches, Rashes, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Headache, Abdominal pain, Dehydration, Body aches, Rashes, Irritability?",Norovirus Infection
"What disease causes Scratchy, tickly throat, Sneezing, Low-grade fever, Sore throat, Mild hacking cough, Achy muscles and bones?",Common Cold
"What disease causes High fever, Runny nose, Irritability, Swollen lymph nodes, Sore throat, Red eyes, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Runny nose, Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Rashes, Chills, Feverish?",Roseola
"What disease causes Runny nose, Fatigue, Sore throat, Cough, Red eyes, Abdominal pain?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Nausea, Bloody stools, Fatigue, Muscle aches, Feverish, Rashes, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Fatigue, Sore throat, Cough, Red eyes, Loss of appetite, Body aches, Rashes, Feverish?",Roseola
"What disease causes Stomach cramps, Nausea, Headache, Fatigue, Abdominal pain, Sweating, Body aches, Fever?",Norovirus Infection
"What disease causes High fever, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Loss of appetite, Body aches, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Stomach cramps, Muscle aches, Body aches, General discomfort, Chills?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Low-grade fever, Muscle aches, Fatigue, Abdominal pain, Dehydration, Chills, General discomfort, Irritability?",Norovirus Infection
"What disease causes Muscle aches, Nausea, Dehydration, Sweating, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Irritability, Fatigue, Swollen lymph nodes, Headache, Cough, Red eyes, Diarrhea, Vomiting, Loss of appetite, Abdominal pain, Feverish?",Roseola
"What disease causes Vomiting, Stomach cramps, Fatigue, Chills, General discomfort, Fever?",Norovirus Infection
"What disease causes Diarrhea, Vomiting, Bloody stools, Headache, Dehydration, Loss of appetite, Muscle aches, Rashes, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Swollen lymph nodes, Headache, Cough, Vomiting, Rashes?",Roseola
"What disease causes Vomiting, Stomach cramps, Muscle aches, Fatigue, Abdominal pain, Dehydration, Chills, Sweating, Body aches, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Nausea, Bloody stools, Stomach cramps, Headache, Fatigue, Body aches?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Stomach cramps, Nausea, Headache, Abdominal pain, Dehydration, Chills, Rashes, General discomfort?",Norovirus Infection
"What disease causes Fever, Red lines in body folds, Pale skin around lips, Sore and red throat with patches, Tender, enlarged neck glands, Abdominal pain, Headache and body aches?",Scarlet Fever
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Nausea, Vomiting, Bloody stools, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Abdominal pain or cramps, Diarrhea, Vomiting, Bloody stools, Headache, Dehydration, Muscle aches, Body aches?",Shigellosis (Bacillary Dysentery)
"What disease causes Abdominal pain or cramps, Nausea, Vomiting, Bloody stools, Stomach cramps, Headache, Muscle aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Muscle aches, Nausea, Headache, Sweating, General discomfort, Fever?",Norovirus Infection
"What disease causes Fever, Diarrhea, Fatigue, Dehydration, Loss of appetite, Muscle aches, Body aches, Feverish, Rashes?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Rash, Headache, Loss of appetite, Body aches, Rashes, Chills, Feverish?",Roseola
"What disease causes Diarrhea, Vomiting, Low-grade fever, Headache, Dehydration, Chills, Rashes, Fever?",Norovirus Infection
"What disease causes Vomiting, Low-grade fever, Nausea, Headache, Abdominal pain, Loss of appetite, Dehydration, Chills, Body aches, Rashes, General discomfort, Fever?",Norovirus Infection
"What disease causes Sores in mouth, Irritability, Mouth sores, Red spots, Blisters, Cough, General discomfort, Mild fever, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes Irritability, Cough, Red eyes, Vomiting, Abdominal pain, Rashes?",Roseola
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Dehydration, Loss of appetite, Muscle aches, Body aches, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Fatigue, Swollen lymph nodes, Headache, Red eyes, Vomiting, Abdominal pain, Rashes, Feverish?",Roseola
"What disease causes Stomach cramps, Low-grade fever, Muscle aches, Nausea, Abdominal pain, Chills, Body aches, Rashes, General discomfort, Fever, Irritability?",Norovirus Infection
"What disease causes Rash, Fatigue, Headache, Red eyes, Vomiting, Abdominal pain, Body aches?",Roseola
"What disease causes Diarrhea, Vomiting, Headache, Dehydration, Loss of appetite, Muscle aches, Feverish, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes High fever, Runny nose, Rash, Fatigue, Sore throat, Red eyes, Vomiting, Loss of appetite, Chills, Feverish?",Roseola
"What disease causes High fever, Rash, Irritability, Fatigue, Headache, Red eyes, Diarrhea, Vomiting, Abdominal pain?",Roseola
"What disease causes Diarrhea, Vomiting, Nausea, Headache, Fatigue, Dehydration, Chills, Rashes, Fever, Irritability?",Norovirus Infection
"What disease causes Diarrhea, Low-grade fever, Loss of appetite, Chills, Sweating, Body aches, Rashes, General discomfort?",Norovirus Infection
"What disease causes Runny nose, Rash, Headache, Red eyes, Diarrhea, Body aches, Rashes?",Roseola
"What disease causes Irritability, Sore throat, Headache, Cough, Diarrhea, Vomiting, Feverish?",Roseola
"What disease causes Sores in mouth, Rash on hands and feet, Irritability, Blisters, Headache, General discomfort, Difficulty swallowing?","Hand, Foot, and Mouth Disease"
"What disease causes High fever, Rash, Headache, Red eyes, Diarrhea, Vomiting, Rashes, Chills, Feverish?",Roseola
"What disease causes Runny nose, Swollen lymph nodes, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Abdominal pain, Body aches?",Roseola
"What disease causes Nausea, Vomiting, Dehydration, Muscle aches, Body aches, Rashes, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Fever, Sores in mouth, Rash on hands and feet, Loss of appetite, Irritability, Sore throat, Mouth sores, Red spots, Blisters, Fatigue, Sore muscles, Headache?","Hand, Foot, and Mouth Disease"
"What disease causes Diarrhea, Stomach cramps, Nausea, Headache, Abdominal pain, Dehydration, Chills, Sweating, Fever, Irritability?",Norovirus Infection
"What disease causes Fever, Abdominal pain or cramps, Nausea, Vomiting, Stomach cramps, Fatigue, Dehydration, Loss of appetite, Feverish, Rashes, General discomfort?",Shigellosis (Bacillary Dysentery)
"What disease causes Diarrhea, Vomiting, Muscle aches, Headache, Dehydration, Chills, Rashes, Fever?",Norovirus Infection
"What disease causes Swollen glands, Fever, Sore throat, Pale skin around lips, Sore and red throat with patches, Difficulty swallowing, Nausea or vomiting, Headache and body aches?",Scarlet Fever
"What disease causes Vomiting, Muscle aches, Fatigue, Loss of appetite, Dehydration?",Norovirus Infection
"What disease causes High fever, Rash, Irritability, Sore throat, Headache, Red eyes, Vomiting, Loss of appetite, Rashes, Chills, Feverish?",Roseola
"What disease causes Abdominal pain or cramps, Diarrhea, Vomiting, Headache, Fatigue, Dehydration, Loss of appetite, Body aches, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
"What disease causes Stomach cramps, Low-grade fever, Abdominal pain, Loss of appetite, Sweating, Fever?",Norovirus Infection
"What disease causes High fever, Fatigue, Swollen lymph nodes, Sore throat, Headache, Cough, Diarrhea, Vomiting, Loss of appetite, Body aches, Chills, Feverish?",Roseola
"What disease causes Rash, Fatigue, Sore throat, Headache, Red eyes, Diarrhea, Vomiting, Rashes, Chills, Feverish?",Roseola
"What disease causes Sore throat, Red lines in body folds, Red rash on the body, Fever (100.4�F / 38.0�C or higher), Difficulty swallowing, Abdominal pain, Headache and body aches?",Scarlet Fever
"What disease causes Fever, Diarrhea, Nausea, Vomiting, Fatigue, Dehydration, Feverish, General discomfort, Chills, Joint pain?",Shigellosis (Bacillary Dysentery)
